"title","course_description","expected_hours","Skills"
"knowledge management big data business","",56,"V349"
"uso efectivo del tiempo","estamos ocupados todo el tiempo y trabajamos fuertemente pero nunca hemos comprendido que la eficacia y la efectividad de nuestro trabajo se ven disminuidas porque desperdiciamos este recurso de igual modo muchas veces en detrimento de nuestra vida personal y salud fã sica existe la premisa que la buena administraciã³n del tiempo puede aprenderse pero esto exige cierto grado de compromiso y perseverancia para realizar avances con ese propã³sito importa cuã n pequeã os sean este cambio de actuaciã³n en nuestra vida personal y profesional es algo que pueda darse de la noche la maã ana sino que requiere constancia para desarrollar hã bitos apropiados en el uso del tiempo en el largo plazo regã strate en este curso en lã nea para conocer de que forma puedes beneficiarte del buen uso del tiempo ",42,"V349, os"
"c programming pointers memory management"," course will examine key concept foundational programming language usage memory course builds upon basic concept pointers discussed c programming modular programming memory management introduces advanced usage pointers pointer arithmetic arrays pointers multidimensional arrays addressed will learn allocate memory data program execution called dynamic memory allocation runtime using pointers within moments will coding hands new browser tool developed course receiving instant feedback code need install anything course will gain experience programming concepts foundational programming language end short course will reach fourth milestonein c programming linux professional certificate program unlocking door career computer engineering course received financial support patrick lina drahi foundation ",21,"linux, management, c, engineering, computer, foundation, support, data, programming, basic, V349, end, financial, hands, install"
"astrophysics violent universe","interested exploring deadliest mysterious parts universe investigating black holes warp fabric space time around will look know objects also many unsolved mysteries surround will also study white dwarf stars neutron stars mind bending laws quantum mechanics collide relativity examine dwarf novae classical novae supernovae even hypernovae violent explosions cosmos course designed people like get deeper understanding astronomy offered popular science articles television shows will need reasonable high school level maths physics get course third four anux courses together make australian national university s first year astrophysics program follows course greatest unsolved mysteries universe course exoplanets necessary done previous courses first necessary background material repeated followed course cosmology courses compromise astrophysics xseries learn xseries program register courses series today ",30,"V349, physics, s, high"
"landscape ecology"," landscape evolved perceive landscapes properties required make us feel home interested topics want understand landscapes function course will present discipline landscape ecology natural social sciences meet will realize innovative collaborative approaches used landscape ecology allow land managers planners public shape landscapes future societies will teach modern tools landscape ecology enabling address fundamental research questions will also get valuable practical advice solving existing real landscape issues leading landscape ecology professors will present case studies around world highlighting tools methods landscape ecology used solve environmental problems ",42,"research, V349, case, environmental, real, tools"
"iot programming big data"," internet things creating massive quantities data managing analysing requires unique approach programming statistics distributed data sources course will teach introductory programming concepts allow connection implementation functionality iot devices using python programming language addition students will learn use python process text log files generated automatically iot sensors network connected systems learners need prior programming experience undertake course will learn specific programming language however python will used demonstrations course will focus learning working realistic examples ",25,"python, systems, network, implementation, data, programming, V349, statistics, iot, internet, focus"
"aws getting started cloud security","data security forefront everyoneâ s mind days data breaches denial service attacks ransomware malware common news stories course two amazon web servicesâ solutions architects will provide foundational understanding cloud security compliance aws shared responsibility model will discuss technical content looking various security controls identity access management services directory services network isolation connectivity options auditing monitoring encryption managing secrets course will cover number aws services amazon vpc amazon cloudwatch aws cloudtrail amazon guardduty aws security hub amazon s3 amazon ebs amazon ec2 aws secrets manager among others several demonstrations provided throughout course provide practical example concepts discussed class discussions will provide opportunity interact fellow students well aws training staff ",12,"security, management, network, aws, web, cloud, access, compliance, data, manager, encryption, V349, s3, ebs, cloud security, ec2, technical, data security, hub, amazon, amazon ec2, amazon s3, access management, malware, s, vpc, monitoring, solutions, cloudwatch, training"
"introducciã³n la gravedad cuã ntica de lazos","en este curso de fã sica vamos discutir la gravitaciã³n cuã ntica de lazos o bucles loop quantum gravity que es uno de los dos contendientes mã s importantes compatibilizar la teorã de albert einstein de relatividad general que es una teorã de la gravedad con la teorã cuã ntica en este curso en lã nea vamos explicar quã significa gravitaciã³n cuã ntica y lazos para asã conocer sus impactos e importancia en el universo en cada mã³dulo iremos describiendo en profundidad con ejemplos cotidianos que significa cada una de estas palabras estemooc es un acercamiento cotidiano la gravedad cuã ntica el curso entrega al estudiante el conocimiento para entender cã³mo la gravedad cuã ntica de lazos mezcla la mecã nica cuã ntica y la teorã de la relatividad general ",30,"e, V349, s"
"introduction music business","three things clear todayâ s music industry consumption music expanding greatest rate history portals ever imagined cost producing music decreasing number artists creating seeking expose work develop careers internet increased dramatically demand grows internet piracy wanes ad supported subscription models will generate unprecedented revenues will surpass even best past earnings many astute â music industry watchersâ predict steep rise business activity trade earnings end decade whether youâ re music creator consumer facilitator process youâ ll want understand history underpinnings basics music business course developed provide students latest instruction best way creators consumers facilitators navigate resurgence one worldâ s exciting industries music business course author john kelloggâ administrator educator entertainment lawyer performer radio television personalityâ offers students opportunity learn fundamental principles developing new music business now future ",18,"V349, end, ad, business, develop, internet, s"
"introducciã³n la programaciã³n en c tipos de datos y estructuras","",12,"V349"
"visualizaciã³n de datos y storytelling","digamos que necesitas comprender big data miles o incluso millones de filas de datos y tienes poco tiempo para hacerlo los datos pueden provenir de tu equipo en cuyo caso tal vez ya estes familiarizado con lo que estas midiendo y de los resultados que se esperan o puede provenir de otro equipo o tal vez de varios equipos la vez y estar completamente familiarizado de cualquier manera la razã³n por la que lo estas viendo es porque tienes que tomar una decisiã³n lo mas rã pido posible y serã de gran ayuda que los datos te informen como tomarla inteligencia de negocios pues esa decisiã³n podra afectar positiva o negativamente un cliente un producto o toda la organizaciã³n en este curso online conoceras una parte importante de la ciencia de datos o data science la visualizaciã³n de los datos y las herramientas que puedes usar para aplicarlos debido la forma en que el cerebro humano procesa la informaciã³n usar tablas o grã ficos para visualizar grandes cantidades de datos complejos es mas fã cil que analizar hojas de cã lculo o informes la visualizaciã³n de datos es una forma rã pida y fã cil de transmitir conceptos de manera universal y es posible el poder experimentar con diferentes escenarios haciendo pequeã os ajustes la visualizaciã³n de datos es la presentaciã³n de datos en un formato grã fico permite los tomadores de decisiones ver el anã lisis presentados visualmente para que puedan comprender conceptos dificiles o identificar nuevos patrones la visualizaciã³n de datos revela informacion inadvertida especiamente en grandes conjuntos de datos big data da respuestas mas rã pido y ayuda entender mas fã cilmente la relaciã³n causa efecto los objetivos de este curso online son los siguientes ",16,"big data, data, data science, V349, os"
"negociaciã³n exitosa estrategias y habilidades esenciales en espaã ol ","todos negociamos diariamente nivel personal negociamos con amigos familia propietarios vendedores de autos y empleadores entre otros la negociaciã³n tambiã n es la clave del ã xito comercial ninguna empresa puede sobrevivir sin contratos rentables dentro de una empresa las habilidades de negociaciã³n lo pueden llevar avanzar en su carrera en este curso aprenderã y practicarã los cuatro pasos necesarios para lograr una negociaciã³n exitosa con un mã³dulo para cada paso 1 preparaciã³n planifique su estrategia de negociaciã³n 2 negociaciã³n use las tã cticas claves para el ã xito 3 cierre cree un contrato 4 cumplimiento y evaluaciã³n el juego final para completar exitosamente este curso y mejorar su capacidad de negociar deberã completar los tres pasos siguientes 1 mire los videos breves que van de 5 20 minutos de cada mã³dulo los videos son interactivos e incluyen preguntas para evaluar su entendimiento de las estrategias y habilidades de negociaciã³n los videos se pueden acelerar o ralentizar para adaptarse al ritmo que prefiera escucharlos segã n sus horarios puede ver los videos en unas semanas o verlos todos juntos un estudiante que vio el curso de una sola vez concluyã³ que es tan bueno como breaking bad 2 complete la negociaciã³n del mã³dulo 6 para evaluar sus capacidad de negociaciã³n puede negociar con un amigo local o usar los debates para encontrar un socio de otra parte del mundo su socio de negociaciã³n le brindarã una devoluciã³n sobre sus capacidad de negociaciã³n en el camino puede resultarle ã til utilizar esta aplicaciã³n mã³vil gratuita que estã relacionada con el curso y contiene varias herramientas de planificaciã³n de la negociaciã³n http negotiationplanner com 3 tome el examen final para completar el curso exitosamente debe responder correctamente el 80 de las preguntas este examen es un examen de dominio lo que significa que puede tomarlo las veces que quiera hasta que domine el material ademã s este curso incluye la opciã³n de obtener un certificado travã s de la verificaciã³n de su identidad y la finalizaciã³n exitosa del curso un certificade le proporciona un reconocimiento formal de sus logros en el curso e incluye el logo de la universidad de michigan en este curso aprenderã y practicarã los cuatro pasos necesarios para lograr una negociaciã³n exitosa con un mã³dulo para cada paso 1 preparaciã³n planifique su estrategia de negociaciã³n 2 negociaciã³n use las tã cticas claves para el ã xito 3 cierre cree un contrato 4 cumplimiento y evaluaciã³n el juego final",21,"http, e, com, V349, 3, 2, s, 1, 4, 5"
"feeding hungry planet agriculture nutrition sustainability","agriculture waving fields wheat ability grow food existing natural resources â without decimating resources â key sustainably feeding world course learn food security worldwide effects malnutrition manage ecosystems provide food resources youâ ll emerge course clear answer question can make food consumption production sustainable course partners course supported faculty based cornell university johns hopkins university rothamsted research tufts university wageningen university research ",28,"security, research, can, V349, production, based"
"macroeconomics basics"," successful operation modern economics depends participation economically literate citizens economically literate citizen able identify problems gather relevant information weigh costs benefits analyze incentives make choices students successfully completing course will able comprehend use basic economic concepts interpret major macroeconomic statistics explain monetary fiscal policy can used stabilize economy discuss macroeconomic issues ",112,"basic, can, V349, statistics, economics"
"fundamentals financial mathematics capital budgeting"," course begins look determinants value will cover two main approaches valuing businesses going concerns discounting cash flows valuation ratios including inputs needed perform calculations deal risk proceed look time value money concepts present value future value role interest rates plays calculation course also covers impact different compounding frequencies explains methodologies used make comparisons interest rates based different compounding conventions weâ ll learn calculate future value lump sums cash flow streams including period certain annuities well calculate present value lump sums cash flow streams including period certain annuities perpetuitiesâ constant growing course also covers detail three main approaches capital budgeting decisions payback internal rate return net present value analysis including conceptual framework input values decision rules weâ ll wrap course look strengths weaknesses three main approaches capital budgeting decisions modification payback irr attempt address shortcomings course part 1 new york institute financeâ s corporate finance valuation methods professional certificate ",6,".net, analysis, finance, V349, framework, risk, net, s, 1, impact, detail, based"
"gestiã³n participativa motivaciã³n y liderazgo organizacional","en este curso de liderazgo y habilidades blandas veremos una definiciã³n analã tica de la gestiã³n participativa y cã³mo implantar y medir el grado de despliegue de las prã cticas de alta implicaciã³n high involvement work practices ohiwp en las empresas tambiã n analizaremos como se pueden medir los resultados de estas prã cticas dentro de una organizaciã³n para asã ver el impacto que pueden tener los empleados en las decisiones que afectan toda la organizaciã³n en este curso de gestiã³n participativa conocerã s cã³mo los lideres pueden tomar mejores decisiones considerando la experiencia y el conocimiento de sus empleados los empleados participan activamente en este tipo de gestiã³n proporcionado sugerencias ideas anã lisis y retroalimentaciã³n para que asã los lideres puedan tomar mejores decisiones â cuã les son los componentes de la gestiã³n participativa â cã³mo se puede implantar la gestiã³n participativa dentro de las organizaciones â diagnosticar las prã cticas de gestiã³n participativa en una empresa â cã³mo medir los resultados de estos programas de participaciã³n â cã³mo un lã der puede involucrar de forma exitosa los empleados â cã³mo la gestiã³n participativa puede ayudar desarrollar un liderazgo participativo en una organizaciã³n",28,"V349, s, high"
"herramientas de ciencia de datos uso prã ctico","en este curso aprenderã s sobre las herramientas de ciencia de datos como jupyter notebooks rstudio ide y watson studio aprenderã para quã se usa cada herramienta quã lenguajes de programaciã³n pueden ejecutar sus caracterã sticas y limitaciones y cã³mo los cientã ficos de datos usan estas herramientas hoy en dã con las herramientas alojadas en la nube podrã s usar cada herramienta y seguir instrucciones para ejecutar cã³digo simple en python o r para completar el curso crearã s un proyecto final en la nube con un jupyter notebook en ibm watson studio y asã demostrarã s tu habilidad para preparar un notebook escribir markdown y compartir tu trabajo con tus compaã eros el conocimiento de este curso prã ctico lo pondrã s en prã ctica con algunas de las mejores y mã s recientes herramientas de ciencia de datos â como usar varias herramientas de ciencia de datos y visualizaciã³n de datos alojadas en skills network labsâ cã³mo usar notebook jupyter incluidas sus caracterã sticas y por quã es tan popularâ herramientas populares utilizadas por r programmers incluido rstudio ideâ sobre ibm watson studio incluidas sus caracterã sticas y capacidadesâ como crear y compartir un cuaderno jupyter",35,"python, network, ibm, r, V349, ide, s"
"bienestar para el desarrollo personal y profesional","el bienestar se ha convertido en una tendencia global que busca el equilibrio y balance en la vida de cada persona sin embargo hasta ahorita comienza ser parte de latino amã rica con este curso podrã s ser parte del cambio â el bienestar es el gran reto de este siglo y penguin random house mã xico apuesta por la propuesta prã ctica e inteligente de barriguete en â los pilares del bienestarâ su contenido esta pensado para todo terreno todas las audiencias que encuentren las respuestas en sus pã ginas y ahora en especial incluye los estudiantes en lã nea del mooc bienestar edxâ enhorabuena andrã s ramã rez director editorial de penguin random house mã xico la oms definiã³ la salud en 1946 como â un estado de completo bienestar fã sico mental y social y solamente la ausencia de afecciones o enfermedadesâ partiendo de esto â quã es bienestar en este curso podrã s entender lo que es el bienestar y con esto tener las herramientas para estar bien en el ã mbito fã sico mental emocional y social el pensar y trabajar en el bienestar parte de un enfoque sobre el equilibrio y la bã squeda de un balance en la vida estar bien significa tener salud disfrutar la vida y saber equilibrarse para esto identificaremos los espacios y conductas de riesgo asã como los momentos crã ticos de la vida donde surgen cambios que nos ponen vulnerables y nos sacan del equilibrio estudios evidencian que mayor bienestar mental y satisfacciã³n con la vida mejor desempeã o personal y profesional asimismo el bienestar emocional se asocia con temas como resiliencia autoestima motivaciã³n confianza en uno mismo y con el potencial que se tiene para lograr un objetivo o fin clark c 2018 este curso aporta una visiã³n integral la soluciã³n de los principales problemas fã sicos y emocionales partir de â estar bienâ partir del contenido podrã s compartirla con otros construyendo un camino hacia una red social y guiando hacia un entorno de bienestar tambiã n aprenderã s identificar y desarrollar un estado personal de bienestar que podrã s compartir con familia travã s de conocer e identificar las conductas o ambientes de riesgo para finalmente lograr crear un centro de bienestar en tu centro educativo o laboral â aprenderã s conocer los canales para poder lograr el bienestar â identificarã s las acciones fundamentales de salud y equilibrio para ejecutarlas en un ambiente de bienestar â reconocerã s los momentos crã ticos y de posible cambio en tu vida como espacios de oportunidad para lograr un balance â identificarã s las conductas de salud y riesgo para poder adaptarlas en tu vida â aprenderã s desarrollar una red de apoyo enfocada en conquistar el bienestar en tu vida dentro de tu familia en la escuela en el trabajo y en la comunidad ",30,"c, e, V349, director, s"
"energã elã ctrica conceptos y principios bã sicos","actualmente el uso de la electricidad es algo cotidiano sin embargo muy pocas personas conocen los conceptos y principios bã sicos que permiten comprender como funciona cuã les son sus parã metros bã sicos cã³mo se miden o cã³mo hacer un mejor uso de la energã este curso de electricidad presenta conceptos bã sicos como voltaje corriente y resistencia que te permitirã n comprender cã³mo se mide la potencia y el consumo de energã en este curso entenderã s que es la energã elã ctrica y su importancia este mooc te ayudarã diferenciar los componentes y parã metros que hay en un circuito elã ctrico asã como distinguir un circuito elã ctrico de corriente directa de uno de corriente alterna tendrã s la oportunidad de realizar prã cticas con unlaboratorio remoto ubicado en las instalaciones fã sicas del tecnolã³gico de monterrey para realizar experimentos de mediciã³n y monitoreo de parã metros elã ctricos bã sicos ademã s sabrã s cã³mo hacer un uso eficiente de la energã elã ctrica orientado la protecciã³n del medio ambiente y la reducciã³n de costos del servicio elã ctrico ahorro de energã â acompã ã anos travã s de estas semanas de aprendizaje ",31.5,"V349, s"
"market segmentation analysis","conducting market segmentation analysis committing long term market segmentation strategy complex challenging journey organisation course guides entire process market segmentation analysis offers ten step process makes customer segmentation efficient organised course begins decision conduct market segmentation analysis continues final stages evaluating success strategy monitoring market possible changes also cover segmentation variables geographic segmentation psychographic segmentation behavioural segmentation demographic segmentation course will explore leverage statistical concepts organisation s segmentation strategy hierarchical clustering partitioning methods exploratory data analysis biclustering mixture models regression models concepts skills will gain course relevant wide range contexts profit sectors course enables conduct customer segmentation analysis can replicate calculations visualisations demonstrated customer segmentation modelsby downloading data r code r free open source statistical computing environment widely acknowledged universal language computational statistics course based taught authors book market segmentation analysis understanding making useful will full access valuable resource enrol course ",35,"analysis, data analysis, access, r, data, can, V349, statistics, open source, strategy, full, s, monitoring, regression, based"
"pensamento crã tico tomada de decisã es fundamentadas"," tomada de decisã es mundo de hoje um mundo em crescente complexidade com amplas mudanã e incertezas cria necessidade de abordagens que permitam discernir os problemas reais e causas que os originam identificar quais sã o esses problemas na maioria dos casos exige desafiar suposiã ã es nas quais baseamos nossos julgamentos em relaã ã o ao mundo e suas realidades poderã amos definir o pensamento crã tico como aquele modo de pensar sobre qualquer assunto conteã ou problema em que o pensador melhora qualidade de seu pensamento apreendendo estruturas inerentes ao ato de pensar e sujeitando padrã es intelectuais o pensamento crã tico ajuda na tomada de decisã es em uma empresa na seleã ã o da melhor aã ã o para organizaã ã o neste curso de pensamento crã tico o aluno aprenderã conhecer suas tendã ncias aproximaã ã es e suposiã ã es nas quais se baseiam suas reflexã es e condiã ã es e seus resultados derivados de suas formas de pensar esse pensamento reflexivo ã o exame ativo cuidadoso e persistente de todas crenã ã luz dos fundamentos que sustentam e das conclusã es que tende s decisã es fundamentadas exigidas pelo mundo sã o dadas em diversas ã reas especialmente nas decisã es de negã³cios relacionadas estratã gias na soluã ã o de problemas nas organizaã ã es na soluã ã o de problemas sociais e na responsabilidade social e ã tica de corporaã ã es neste curso line abordagens serã o orientadas para analisar o pensamento crã tico necessã rio para essas ã reas â identificar teorias conhecimento que sustentam o pensamento crã ticoâ empregar uma metodologia para aplicaã ã o pensamento crã ticoâ relacionar os elementos que compã em os estã gios pensamento crã ticoâ analisar os padrã es da prã tica pensamento crã ticoâ avaliar responsabilidade de perpetuar os valores intelectuais da anã lise de resoluã ã oâ distinguir os vã cios pensamento na tomada de decisã oâ aplicaã ã o pensamento crã tico em grupos",26,"e, com, V349, os, s"
"apâ english literature composition â part 2 poems"," course prepares read deeply write clearly works literature engaging collection videos authentic readings support material variety sources will learn appreciate literature different genres will learn different genres poetry history greatest poets will broaden vocabulary sharpen academic creative writing skills interaction students will help refine thinking reading writing well will learn write time pressure opportunity complete practice assignments similar will find ap examination prerequisites donâ t take ap exam join course want learn poetry literature writing course part two youâ ll learn ",31.5,"t, support, V349, ap"
"electrical optical magnetic materials devices"," course will explain basis electrical optical magnetic properties materials including semiconductors metals organics insulators will show devices built take advantage properties illustrated wide range devices placing strong emphasis new emerging technologies applications presented include diodes transistors photodetectors solar cells photovoltaics displays light emitting diodes lasers optical fibers optical communications photonic devices magnetic data storage motors transformers spintronics image attribution disk drive keurt datenrettung lasers us navy surface warfare center computer chip jon sullivanpart 1 part 2 part 3 ",160,"applications, computer, data, storage, materials, V349, 3, 2, data storage, 1"
"advanced cardiac imaging cardiac computed tomography ct "," course developed department diagnostic radiology university hong kong collaboration committee members international national cardiac imaging societies radiologists cardiologists radiographers technologists health professionals want learn imaging modality course follows level 1 recommendations cardiac imaging societies covering required topics providing 50 hands cardiac ct cases previous experience cardiac ct required learning outcomes mooc cardiovascular magnetic resonance will available platform near future watch space acknowledgments course supported grant sanming project medicine shenzhen like thank miss benedicte coiffier miss bohan fan department diagnostic radiology university hong kong hku coordinating online courses hku technology enriched learning initiative teli team producing educational material like express sincere thanks colleagues luo lin chen yan baroc ho radiology division department medical imaging university hong kong shenzhen hospital translating texts chinese dr nitin ramamurthy dr jhonatan bringas additional help æ è ç ç é æ å å æ å è æ ç ä å å å å è å å å ä ç å å ä æ å å ä å å ï ä ä æ ³è ä æ ä è å è æ å æ æ ç æ å ç å å ã å å ç å å å ç å å ã æ å æ å ã å ç å å å ä å ç å å ä ä ä å è è è ã æ è ç æ ¹æ å è æ å å ä ä ç å è ï æ ç ä æ é ç ä é ï å¹ æ ä 50ä å è ctç ÿå ç ä ã å ä¹ è ä è æ æ å è ctç è å ç é ã å ä¹ æ æ ï æ æ å ä å è ä å¹³å ä å å ä ä å ³ä å è ç ç å æ ï cmrï ç è ç ã è ç æ å ³æ³ è è æ è ç è å æ å ³å ç å ç ÿâ ä å å ç â ç è å ã æ ä è å æ ÿè é æ å å æ å è æ ç ç benedicte coiffierå è å æ å å ç ç å ç è ç ï ä å é æ å å ç å ä¹ æ å ç å ä è ç æ æ ã æ ä é å æ ÿè é æ å å æ å ³å é å å å å ä å æ å ç ç å ä ç ç ³ã é ç ä ä å é æ æ æ æ æ ç è æ ä æ ã æ ÿè dr nitin ramamurthy å dr jhonatan bringasç å å ã ",10,"project, V349, collaboration, hands, technology, 1, medical"
" design successful business model"," want start grow business go international avoid bankruptcy business management course will learn key steps take design innovate business model will learn trade offs made design issues critical viable sustainable business model course will help answer questions like create simple business model structured way engage users create value customers well revenue company â ",24,"management, design, V349, go, business"
"ecodesign cities suburbs"," often modern cities suburbs disorganized places new development makes daily life less pleasant creates traffic congestion contributes climate change trend change course going show ecodesign means integrating planning urban design conservation natural systems produce sustainable built natural environment ecodesign can implemented normal business practices kinds capital programs regulations already use communities will show ecodesign already used exceptional projects many cities suburbsâ hammarby sjã stad stockholm false creek north vancouver battery park city manhattan well many smaller scale examples can adopted community cities suburbs built according ecodesign principles can become normal instead just special examples transforming urban development desirable lower carbon compact walkable communities business centers course describes specific solutions vexing urban challenges face course participants can see ideas might applied area participants will learn conceptual framework ecodesign see many real successful examples come understand tools processes techniques policy development implementation ecodesign thinking relevant anyone part shaping influencing future cities suburbs â citizens students designers public officials politicians conclusion course participants will tools strategies necessary advocate policies projects neighbourhood urban district using ecodesign framework ",27,"development, systems, design, implementation, can, V349, policies, framework, less, real, business, solutions, tools"
"agile software development","agile methodology taken software development industry storm everyone wants agile really mean achieve agile development computer science course cuts beyond agile methodology hype teaches fundamental agile concepts span wide range methodologies analyzes key agile ideas benefits limitations best take advantage enhance software skills show employers mastered essential component today s industry course divided six parts unlike many presentations agile methods course takes strictly objective view agile methods enabling retain best agile principles practices second runof course revised learning material created new final exam ",15,"development, software, agile, software development, computer, computer science, V349, storm, objective, agile development, s, presentations"
"diseã o de sistemas de informaciã³n gerencial para intranet con microsoft access","en el mundo moderno cualquier empresa u organizaciã³n requiere ser competitiva para mantenerse activa en un mercado cambiante la toma de decisiones oportunas es fundamental para el ã xito de las empresas modernas uno de los aspectos que contribuye esa competitividad es el manejo apropiado de los datos relacionados con sus procesos y la rapidez con la que pueda consultarlos analizarlos y tomar decisiones precisas e informadas en este curso de informã tica nuestro gran aliado serã microsoft access un programa de gestiã³n que muchas organizaciones ni siquiera saben que lo tienen o que existe pero es un gran aliado cuando se requiere gestionar bases de datos relacionales bdr es decir almacenar consultar relacionar y o crear tablas relacionadas travã s de cã³digos de tamaã o intermedio que son incontrolables en hojas de cã lculo como excel en este curso en lã nea aprenderemos usar microsoft access la cual es una herramienta muy potente y versã til para crear sistemas de informaciã³n que gestionen esos datos creando interfaces de usuario que facilitan el ingreso de datos y la visualizaciã³n de informaciã³n ã til para el anã lisis y la toma de decisiones este sistema de gestiã³n de bases de datos incluido en microsoft office requiere manejo de lenguaje de programaciã³n porque estã pensado para personas diferentes ingenieros de sistemas que requieran manejar bases de datos relativamente grandes y complejas al igual que para personas que quieran construir sistemas de informaciã³n medianamente robustos y muy potentes sistemas manejados travã s de la intranet en este curso de ciencias de la computaciã³n aprenderã s ademã s entender el lenguaje sql de las consultas de access para utilizarlo en la segunda parte del programa de certificaciã³n de â diseã o de software para la toma de decisiones organizacionalesâ ",32,"software, excel, access, e, microsoft office, microsoft, V349, interfaces, microsoft access, s"
"essentials program strategy evaluation"," course will take essentials nonprofit philanthropy strategy will apply basic elements strategic planningâ defining problem designing theory change evaluating outcomesâ real world problems will able develop strategies will inform work nonprofit leader philanthropist policy maker help ensure achieve demonstrable long term impact rather illusion results ",30,"basic, V349, real, strategy, develop, impact"
"gestã oâ de projetos de desenvolvimento","este curso sera dado em portuguesum dos desafios que os governos instituiã ã es pã blicas os organismos nã o governamentais agã ncias de desenvolvimento e outros atores que promovem o desenvolvimento econã mico e social na amã rica latina e caribe enfrentam dia dia ã como transformar propostas em realidades concretas que melhorem o bem estar da sociedade e proporcionem resultados dentro prazo e com os recursos disponã veis este curso apresenta conceitos e ferramentas que podem ser aplicados na gestã o de projetos para gerar mudanã substanciais e alcanã ar com recursos escassos os objetivos propostos este mooc fortalece capacidade de gestã o de projetos governo de organizaã ã es sem fins lucrativos e da sociedade civil para que sejam executados de modo eficaz e eficiente o curso se baseia na metodologia pm4r project management results bid e guia pmbokâ pmi sexta ediã ã o pm4r gestã o de projetos para resultados foi criada pelo instituto interamericano para o desenvolvimento econã mico e social indes bid com o certificado deste curso os participantes recebem 35 pdus jã que o indes ã um registered education provider r e p perante o pmiâ o tempo de dedicaã ã o estimado para aprovaã ã o curso ã de seis horas semanais durante seis semanas contudo devido ã modalidade â ritmo prã³prioâ self paced vocã terã flexibilidade de concluir o curso em um perã odo mã ximo de 7 meses dia 2 de abril 18 de dezembro de 2020 organizaã ã o deste curso foi financiada pelo fundo de fortalecimento da capacidade institucional icsf graã ã contribuiã ã o governo da repã blica popular da china pmbok ã uma marca registrada project management institute inc vocã aprenderã â conceitos bã sicos e tã cnicas de gestã o de projetos segundo padrã es internacionais â ferramentas e tã ticas essenciais que facilitam uma boa comunicaã ã o ã mbito de um projeto â como identificar fatores importantes para o sucesso de projetos de governos de organizaã ã es sem fins lucrativos e da sociedade civil ",35,"management, project management, project, r, e, com, V349, civil, os, education, ar, pmi, 7, 2"
"innovation plan product","business models regarded form innovation merely just vehicle commercialization course students will learn multiple business model innovation avenues metrics assessing going market fit sustainability course introduces evidence based approach innovation management aim providing students capability understand strategic value information tools techniques can used analyze use information improve decision making tools include customer discovery prototyping financial modeling business plans forecasts students will learn apply effective tools developing sustainable business models exploiting viable validated opportunities rapidly changing environments traditional strategic management approaches less effective ",90,"management, metrics, can, V349, less, financial, business, modeling, innovation, tools, based"
"introduction database queries"," course introduction basic concepts organization implementation models databases emphasis relational model among topics covered development simple queries retrieve mutate data database data manipulation language dml subset sql used database developers create maintain query facts database students gain thorough understanding dml syntax options available retrieving facts back database database development administration skills required information technology software engineering cybersecurity computer science jobs course utilizes open source relational database mysql mysql s open source fork mariadb used millions web apps persist application data provide query processing applied sql labs expand classroom lectures provide students hands experience relational database management system rdbms structured query language sql course part nyu s introduction databases microbachelors program successfully complete courses within program passing grade 70 better via verified paid track youâ ll receive certificate highlighting achievement also option collect real college credit included price can count towards pursuit bachelorâ s degree courses program include ",35,"management, development, software, database, web, mysql, system, application, engineering, computer, computer science, implementation, data, rdbms, basic, can, degree, information technology, V349, open source, cybersecurity, administration, relational database, real, hands, s, via, databases, mariadb, technology, data manipulation, software engineering"
"climate change carbon capture storage"," atmosphere shared resource amount greenhouse gases can absorb finite resource introductory course technology carbon capture storage designed wider audience interest energy sustainability climate change aim carbon capture storage achieve carbon capture storage makes cheap widely available fossil fuels â safe useâ context paris climate change agreement 2015 prevents carbon dioxide emissions entering atmosphere store permanently safely underground course taught team leading academics university edinburgh decades experience field aims bridge gap forefront latest developments science engineering geology policy economics wider public aim help understand technology objectively important efforts climate change hope course will make want find climate change mitigation options will continue educate area regardless background course will teach key elements help better understand ",12.5,"engineering, can, storage, V349, technology, economics, energy"
"reservoir geomechanics"," interdisciplinary course encompasses fields rock mechanics structural geology earthquake seismology petroleum engineering address wide range geomechanical problems arise exploitation oil gas reservoirs course considers key practical issues prediction pore pressure estimation hydrocarbon column heights fault seal potential determination optimally stable well trajectories casing set points mud weights changes reservoir performance depletion production induced faulting subsidence first part course establishes basic principles involved way allows readers different disciplinary backgrounds understand key concepts course intended geoscientists engineers petroleum geothermal industries research scientists interested stress measurements application problems faulting fluid flow crust ",45,"application, engineering, engineers, performance, research, basic, V349, production"
"fundamentos de administraciã³n estratã gica","este curso profundiza las bases de la administraciã³n estratã gica y responde las necesidades de las empresas en un mundo globalizado que viven en un acelerado ambiente de innovaciã³n y en donde la competitividad es la exigencia permanente para los directivos empresariales se introduce al estudiante en el mundo de la estrategia permitiã ndole entender la importancia de los conceptos y su aplicaciã³n fundamentada para convertirse en un agente activo en la organizaciã³n se ha estructurado el curso para que comprenda los aspectos bã sicos de esta moderna corriente administrativa con los temas mã s importantes relacionados con la gestiã³n actual el material de lectura videos y actividades de aplicaciã³n de los conocimientos adquiridos estã n minuciosamente planeados para facilitar los participantes su propia construcciã³n del aprendizaje participando activa responsable y comprometidamente ",30,"V349, s"
